婷婷提醒公告,#genre#
龙华日韩AKtv,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8

神州新闻AKtv,http://aktv.top/AKTV/live/aktv3/null-1/AKTV.m3u8

东方国际AKtv,http://aktv.top/AKTV/live/aktv3/null/AKTV.m3u8

国家地理AKtv,http://aktv.top/AKTV/live/aktv3/lovenaturehd/AKTV.m3u8
channeluAKtv,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8
channel5AKtv,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8
channel8AKtv,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8

C+_香港AKtv,http://aktv.top/AKTV/live/aktv3/c/AKTV.m3u8

ThrIll_影AKtv,http://aktv.top/AKTV/live/aktv3/thrill/AKTV.m3u8

Nhk新闻AKtv,http://aktv.top/AKTV/live/aktv3/nhkworldjapan/AKTV.m3u8

CNa新闻AKtv,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8

TVN韩综AKtv,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8

KIX_韩综AKtv,http://aktv.top/AKTV/live/aktv3/kix/AKTV.m3u8

DW_综合AKtv,http://aktv.top/AKTV/live/aktv3/dw/AKTV.m3u8

france24AKtv,http://aktv.top/AKTV/live/aktv3/france24/AKTV.m3u8

rock影综AKtv,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8

Nick综合AKtv,http://aktv.top/AKTV/live/aktv3/nickelodeon/AKTV.m3u8

Nick卡通AKtv,http://aktv.top/AKTV/live/aktv3/nickjr/AKTV.m3u8
AniMAX_AKtv,http://aktv.top/AKTV/live/aktv3/animaxhk/AKTV.m3u8

ZooMoo-AKtv,http://aktv.top/AKTV/live/aktv3/zoomoo/AKTV.m3u8

日本新闻AKtv,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8

泰语购物AKtv,http://aktv.top/AKTV/live/aktv/null-16/AKTV.m3u8

东森新闻频道,http://37.27.111.214:8080/live/20/hls.m3u8

tvbs闽南频道,http://37.27.111.214:8080/live/23/hls.m3u8

民视闽南频道,http://37.27.111.214:8080/live/6/hls.m3u8

中视闽南频道,http://37.27.111.214:8080/live/7/hls.m3u8

华视闽南频道,http://37.27.111.214:8080/live/8/hls.m3u8

民视第一频道,http://37.27.111.214:8080/live/4/hls.m3u8

民视台湾频道,http://37.27.111.214:8080/live/5/hls.m3u8

三立综合频道,http://37.27.111.214:8080/live/31/hls.m3u8

tvbs欢乐频道,http://37.27.111.214:8080/live/24/hls.m3u8

龙华电影频道,http://37.27.111.214:8080/live/19/hls.m3u8

猪哥亮歌厅国,http://37.27.111.214:8080/live/35/hls.m3u8

亚洲旅游频道,http://37.27.111.214:8080/live/10/hls.m3u8

幸福空间频道,http://37.27.111.214:8080/live/26/hls.m3u8

HakkaTV频道,http://37.27.111.214:8080/live/1/hls.m3u8

TiTV原视频道,http://37.27.111.214:8080/live/2/hls.m3u8

动画动漫频道,http://37.27.111.214:8080/live/57/hls.m3u8

Nick动画频壹,http://37.27.111.214:8080/live/12/hls.m3u8

Nick动画频贰,http://37.27.111.214:8080/live/22/hls.m3u8

MoMo亲子国,http://37.27.111.214:8080/live/3/hls.m3u8

博斯高球频壹,http://37.27.111.214:8080/live/13/hls.m3u8

博斯运动频壹,http://37.27.111.214:8080/live/14/hls.m3u8

博斯无限频道,http://37.27.111.214:8080/live/15/hls.m3u8

mTV音乐频道,http://37.27.111.214:8080/live/25/hls.m3u8

HISTORY频道,http://37.27.111.214:8080/live/27/hls.m3u8

HITs电影频道,http://37.27.111.214:8080/live/28/hls.m3u8

探案电影频道,http://37.27.111.214:8080/live/11/hls.m3u8

CINEMA-频道,http://37.27.111.214:8080/live/30/hls.m3u8

TV5_MONDE,http://37.27.111.214:8080/live/9/hls.m3u8

BLOOMBERG,http://37.27.111.214:8080/live/34/hls.m3u8

DWnews频道,http://37.27.111.214:8080/live/46/hls.m3u8

CNBc_英频道,http://37.27.111.214:8080/live/102/hls.m3u8

互动英語频道,http://37.27.111.214:8080/live/54/hls.m3u8

大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8

凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw

凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx

凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk

凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2

稳定流畅,#genre# 
TVB翡翠台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah005-golive.flv 
TVB黄金华剧台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a12-golive.flv 
TVB黄金翡翠台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a11-golive.flv 
TVB无线新闻台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah006-golive.flv 
TVB明珠国际台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah008-golive.flv TVBDRAMA,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b42-golive.flv TVBPLUS,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah007-golive.flv TVBSUPERFREE,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a18-golive.flv 
TVB亚洲剧台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b37-golive.flv 
TVB千禧经典台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a13-golive.flv 
TVB华语台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a15-golive.flv 
TVB奥语片台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b38-golive.flv 
TVB娱乐新闻台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah009-golive.flv TVB戏曲台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00a14-golive.flv  CCTV6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202 CCTV13新闻,http://lives.jnnews.tv/video/s10001-cctv/index.m3u8 兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202 中国教育,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022823801/timeshift.m3u8?delay=0&cdn=5202 郑铁频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8 人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8 浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8 山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8 延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8 内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880 厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8  厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8     

经典频道,#genre#  
经典频道,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv 
经典电影台,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv  
经典功夫台,http://ali.hlspull.yximgs.com/live/asdfg99338.flv 
星光视界频道,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv 
星光经典台,https://ali.hlspull.yximgs.com/live/1355046088.flv 
星光影迷台,https://ali.hlspull.yximgs.com/live/11077536.flv 
星光戏剧界台,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv 
经典武侠,http://159.75.85.63:35455/douyu/338759 
经典都是,http://ali.hlspull.yximgs.com/live/asdfg32619.flv 
经典音乐,http://ali.hlspull.yximgs.com/live/asdfg659911975.flv 
经典怀旧,http://ali.hlspull.yximgs.com/live/asdfg659901975.flv 
经典台,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv 
经典娱乐,http://ali.hlspull.yximgs.com/live/asdfg5899038.flv 
经典电影,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv 
经典乡村,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv 
经典综艺,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv 
经典少儿,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv 
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519 
龙腾功夫,https://ali.hlspull.yximgs.com/live/lgtv99838.flv 
嵩明功夫台,http://data.3g.yy.com/live/hls/1507716299/1507716299  
檬檬功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9838414  
香港功夫台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9548850 
龙腾经典台,https://ali.hlspull.yximgs.com/live/lgtv93858.flv 
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv 
重温经典,http://36.108.172.237:10005/stream/channelid/1658622386?ticket=cee7f3f6fd238a746e4e7a2b018ee411947ffe3d&profile=pass 
重温经典,http://36.108.172.237:10097/stream/channelid/1129822714 
重温经典,http://cg12.hunancatv.cn:9090/live/CWJD.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536318867014&srchost=172.16.22.158:8060&gid=OHehEP1K
央视频道,#genre#
CCTV-01 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-02 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-03 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-04 国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV+5+ 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07 国防,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-08 电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
央视IPv6,#genre#
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

电影轮播,#genre# AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8                                                         秒看,#genre#  CCTV1,http://110.40.39.202:66/live/gdlt.php?id=22g52dt
 CCTV2,http://110.40.39.202:66/live/gdlt.php?id=32a81b2
  CCTV3,http://110.40.39.202:66/live/gdlt.php?id=42c3cd4
  CCTV4,http://110.40.39.202:66/live/gdlt.php?id=52ef5f6
  CCTV5,http://110.40.39.202:66/live/gdlt.php?id=62g7nh8
  CCTV5+,http://110.40.39.202:66/live/gdlt.php?id=72i9j40
  CCTV6,http://110.40.39.202:66/live/gdlt.php?id=82k15l2
  CCTV7,http://110.40.39.202:66/live/gdlt.php?id=92mf3n4
  CCTV8,http://110.40.39.202:66/live/gdlt.php?id=102oh5p
  CCTV9,http://110.40.39.202:66/live/gdlt.php?id=112cc7r
  CCTV10,http://110.40.39.202:66/live/gdlt.php?id=122vs5t
  CCTV11,http://110.40.39.202:66/live/gdlt.php?id=132nu7v
  CCTV12,http://110.40.39.202:66/live/gdlt.php?id=14w2w9x
  CCTV13,http://110.40.39.202:66/live/gdlt.php?id=1522y3z
  CCTV14,http://110.40.39.202:66/live/gdlt.php?id=3162a5b
  CCTV15,http://110.40.39.202:66/live/gdlt.php?id=1a72c7d
  CCTV16,http://110.40.39.202:66/live/gdlt.php?id=y182e9f
  CCTV17,http://110.40.39.202:66/live/gdlt.php?id=u192g1h
  女性时尚,http://110.40.39.202:66/live/gdlt.php?id=b642y3z
    贵州卫视,http://110.40.39.202:66/live/gdlt.php?id=38n2u7v  湖南卫视,http://110.40.39.202:66/live/gdlt.php?id=2g62ugv  江苏卫视,http://110.40.39.202:66/live/gdlt.php?id=24j2q5r  北京卫视,http://110.40.39.202:66/live/gdlt.php?id=2u82y7z  东方卫视,http://110.40.39.202:66/live/gdlt.php?id=i272w5x  天津卫视,http://110.40.39.202:66/live/gdlt.php?id=3i42k5l  重庆卫视,http://110.40.39.202:66/live/gdlt.php?id=r592o7p  黑龙江卫视,http://110.40.39.202:66/live/gdlt.php?id=l332i3j  吉林卫视,http://110.40.39.202:66/live/gdlt.php?id=p432e9f  辽宁卫视,http://110.40.39.202:66/live/gdlt.php?id=3v02c7d  内蒙古卫视,http://110.40.39.202:66/live/gdlt.php?id=4082q9r  宁夏卫视,http://110.40.39.202:66/live/gdlt.php?id=4952s5t  甘肃卫视,http://110.40.39.202:66/live/gdlt.php?id=37b2s5t  青海卫视,http://110.40.39.202:66/live/gdlt.php?id=7b32s5t  陕西卫视,http://110.40.39.202:66/live/gdlt.php?id=5p22y3z  河北卫视,http://110.40.39.202:66/live/gdlt.php?id=4g02y3z  山东卫视,http://110.40.39.202:66/live/gdlt.php?id=3q22g1h  安徽卫视,http://110.40.39.202:66/live/gdlt.php?id=3122e9f  河南卫视,http://110.40.39.202:66/live/gdlt.php?id=4p12a5b  湖北卫视,http://110.40.39.202:66/live/gdlt.php?id=42e2c7d  江西卫视,http://110.40.39.202:66/live/gdlt.php?id=n442g1h  浙江卫视,http://110.40.39.202:66/live/gdlt.php?id=25qvs7t  东南卫视,http://110.40.39.202:66/live/gdlt.php?id=m362q9r  厦门卫视,http://110.40.39.202:66/live/gdlt.php?id=n742u7v  广东卫视,http://110.40.39.202:66/live/gdlt.php?id=o232o9p  深圳卫视,http://110.40.39.202:66/live/gdlt.php?id=29p2a5b  广西卫视,http://110.40.39.202:66/live/gdlt.php?id=u352o7p  云南卫视,http://110.40.39.202:66/live/gdlt.php?id=h082k5l  四川卫视,http://110.40.39.202:66/live/gdlt.php?id=y42c7d  康巴卫视,http://110.40.39.202:66/live/gdlt.php?id=4r52i3j  新疆卫视,http://110.40.39.202:66/live/gdlt.php?id=t562g1h  兵团卫视,http://110.40.39.202:66/live/gdlt.php?id=472zz7p  西藏卫视,http://110.40.39.202:66/live/gdlt.php?id=5b52e9f  海南卫视,http://110.40.39.202:66/live/gdlt.php?id=39cc2w9x  三沙卫视,http://110.40.39.202:66/live/gdlt.php?id=5q12w9x  安多卫视,http://110.40.39.202:66/live/gdlt.php?id=462xk5l  卡酷少儿,http://110.40.39.202:66/live/gdlt.php?id=s632w9x  金鹰卡通,http://110.40.39.202:66/live/gdlt.php?id=d622u7v  优漫卡通,http://110.40.39.202:66/live/gdlt.php?id=6j62c7d
  嘉佳卡通,http://110.40.39.202:66/live/gdlt.php?id=7h82c7d
       
